NR. DOC,CREDITO,DEBITO,DIFERENCA
LU-126897067901,"113,51","116,42","-2,91"
LU-128267068929,"33,45","26,29","7,16"
LU-128777069367,"162,87","167,04","-4,17"
LU-128827069401,"20,97","21,50","-0,53"
LU-128887069452,"66,52","68,22","-1,70"
LU-128937069528,"184,65","170,81","13,84"
LU-129277069854,"64,06","65,69","-1,63"
LU-129777070288,"115,54","118,49","-2,95"
LU-130057070409,"11,91","12,21","-0,30"
LU-130117070464,"137,11","140,61","-3,50"
LU-130127070498,"15,81","11,68","4,13"
LU-130127070502,"32,43","33,25","-0,82"
LU-130137070542,"118,57","121,61","-3,04"
LU-130147070555,"119,85","106,59","13,26"
LU-130157070563,"130,92","134,26","-3,34"
LU-130187070596,"120,35","123,42","-3,07"
LU-130267070663,"13,62","13,95","-0,33"
LU-130387070739,"104,14","106,80","-2,66"
LU-130397070745,"212,28","134,49","77,79"
LU-130477070803,"120,87","123,97","-3,10"
LU-130507070830,"57,48","58,94","-1,46"
LU-130717070957,"242,11","248,30","-6,19"
LU-131037071167,"21,94","22,49","-0,55"
LU-131077071193,"136,09","139,57","-3,48"
LU-131257071294,"119,37","122,42","-3,05"
LU-132207071932,"123,34","126,50","-3,16"
LU-132367072018,"14,39","14,74","-0,35"
LU-134477073321,"115,62","118,58","-2,96"
LU-134737073480,"306,17","314,02","-7,85"
LU-135487073962,"652,14","734,90","-82,76"
LU-135597074024,"355,12","399,90","-44,78"
LU-135797074133,"346,41","399,90","-53,49"
LU-135807074138,"2456,41","2839,95","-383,54"
LU-135947074228,"235,55","241,79","-6,24"
LU-135947074229,"71,52","73,36","-1,84"
LU-135957074233,"128,26","131,64","-3,38"
LU-136027074310,"158,78","163,01","-4,23"
LU-136057074326,"461,38","475,19","-13,81"
LU-136117074357,"445,51","459,72","-14,21"
LU-136137074376,"135,26","138,72","-3,46"
LU-136157074389,"1560,25","1600,26","-40,01"
LU-136167074397,"975,19","1000,19","-25,00"
LU-136207074419,"115,76","118,83","-3,07"
LU-136207074423,"724,84","744,21","-19,37"
LU-136267074454,"699,75","717,69","-17,94"
LU-136267074457,"156,66","160,80","-4,14"
LU-136297074472,"347,32","356,35","-9,03"
LU-136327074491,"536,69","553,66","-16,97"
LU-136347074501,"86,98","91,36","-4,38"
LU-136357074506,"834,61","856,53","-21,92"
LU-136357074508,"182,51","187,39","-4,88"
LU-136367074516,"388,09","398,20","-10,11"
LU-136397074536,"415,13","432,50","-17,37"
LU-136417074547,"88,08","90,34","-2,26"
LU-136417074548,"398,78","409,30","-10,52"
LU-136427074551,"402,19","412,50","-10,31"
LU-136427074553,"975,48","1113,07","-137,59"
LU-136447074563,"450,75","462,29","-11,54"
LU-136457074567,"756,17","775,56","-19,39"
LU-136467074571,"1826,20","1873,03","-46,83"
LU-136487074583,"283,85","291,13","-7,28"
LU-136487074584,"66,57","68,32","-1,75"
LU-136497074588,"428,90","439,90","-11,00"
LU-136517074597,"424,37","435,26","-10,89"
LU-136517074600,"77,43","79,42","-1,99"
LU-136517074602,"1485,67","1524,83","-39,16"
LU-136527074603,"686,99","711,77","-24,78"
LU-136547074616,"466,76","571,51","-104,75"
LU-136547074618,"39,20","40,22","-1,02"
LU-136567074622,"896,14","919,50","-23,36"
LU-136597074639,"846,35","868,41","-22,06"
LU-136597074644,"117,99","121,11","-3,12"
LU-136617074653,"509,94","409,00","100,94"
LU-136627074659,"725,90","762,46","-36,56"
LU-136647074667,"523,44","537,03","-13,59"
LU-136647074670,"4339,01","4881,96","-542,95"
LU-136657074676,"369,75","379,23","-9,48"
LU-136667074678,"24,33","24,96","-0,63"
LU-136707074694,"1061,48","1111,34","-49,86"
LU-136707074702,"779,02","799,00","-19,98"
LU-136737074718,"1441,13","1484,00","-42,87"
LU-136757074728,"779,02","799,00","-19,98"
LU-136767074737,"234,28","269,61","-35,33"
LU-136767074743,"144,49","148,19","-3,70"
LU-136787074755,"690,70","709,43","-18,73"
LU-136787074756,"1787,40","1839,65","-52,25"
LU-136807074769,"116,35","119,46","-3,11"
LU-136807074772,"578,61","663,69","-85,08"
LU-136817074777,"377,09","386,91","-9,82"
LU-136817074783,"1056,70","1084,81","-28,11"
LU-136817074786,"1265,62","1471,94","-206,32"
LU-136827074791,"51,93","53,33","-1,40"
LU-136837074797,"2187,53","2246,38","-58,85"
LU-136837074802,"574,16","588,88","-14,72"
LU-136847074805,"586,29","602,00","-15,71"
LU-136847074809,"314,22","322,87","-8,65"
LU-136847074810,"1031,58","1079,64","-48,06"
LU-136857074815,"365,92","375,77","-9,85"
LU-136867074820,"1362,62","1399,00","-36,38"
LU-136877074825,"388,66","399,00","-10,34"
LU-136877074826,"857,90","880,71","-22,81"
LU-136887074837,"437,29","449,00","-11,71"
LU-136897074839,"388,49","420,30","-31,81"
LU-136897074848,"160,72","164,90","-4,18"
LU-136897074849,"953,76","1019,23","-65,47"
LU-136897074851,"703,97","722,89","-18,92"
LU-136907074852,"1412,73","1450,88","-38,15"
LU-136907074853,"1792,01","1837,96","-45,95"
LU-136907074856,"371,46","381,46","-10,00"
LU-136907074858,"1385,77","1423,10","-37,33"
LU-136907074859,"306,08","314,11","-8,03"
LU-136917074859,"97,36","99,90","-2,54"
LU-136917074862,"793,00","1449,46","-656,46"
LU-136917074863,"1050,50","1079,10","-28,60"
LU-136917074864,"292,05","305,85","-13,80"
LU-136927074868,"316,64","449,90","-133,26"
LU-136927074869,"229,65","248,69","-19,04"
LU-136927074870,"1845,01","956,90","888,11"
LU-136927074872,"272,01","958,00","-685,99"
LU-136927074874,"81,72","440,80","-359,08"
LU-136937074880,"479,26","491,98","-12,72"
LU-136937074881,"345,94","355,11","-9,17"
LU-136947074888,"123,17","126,33","-3,16"
LU-136947074889,"674,58","692,44","-17,86"
LU-136947074890,"428,60","524,80","-96,20"
LU-136947074896,"583,80","599,45","-15,65"
LU-136957074904,"666,42","690,25","-23,83"
LU-136957074907,"125,66","129,00","-3,34"
LU-136957074908,"656,24","674,10","-17,86"
LU-136967074909,"54,41","55,89","-1,48"
LU-136967074910,"110,22","113,24","-3,02"
LU-136977074914,"91,84","94,35","-2,51"
LU-136977074918,"1089,27","1114,04","-24,77"
LU-136977074922,"693,83","712,48","-18,65"
LU-136987074924,"332,06","341,10","-9,04"
LU-136987074927,"993,46","1020,71","-27,25"
LU-136997074935,"616,28","632,79","-16,51"
LU-137007074943,"879,48","936,98","-57,50"
LU-137027074955,"104,71","107,58","-2,87"
LU-137037074957,"1315,62","1350,60","-34,98"
LU-137037074961,"1489,68","1447,59","42,09"
LU-137057074966,"140,72","144,33","-3,61"
LU-137067074978,"729,53","749,00","-19,47"
LU-137087074981,"116,74","120,05","-3,31"
LU-137087074988,"395,24","405,75","-10,51"
LU-137087074991,"340,80","349,90","-9,10"
LU-137107075000,"263,03","269,91","-6,88"
LU-137107075001,"226,39","228,89","-2,50"
LU-137127075013,"394,51","404,61","-10,10"
LU-137147075025,"856,27","879,67","-23,40"
LU-137147075026,"74,39","76,40","-2,01"
LU-137147075027,"388,66","399,00","-10,34"
LU-137147075028,"1035,84","1063,93","-28,09"
LU-137147075029,"222,12","227,91","-5,79"
LU-137167075041,"551,37","565,51","-14,14"
LU-137167075043,"235,85","242,17","-6,32"
LU-137177075045,"1394,04","1429,78","-35,74"
LU-137207021247,"2339,90","2399,90","-60,00"
LU-137227021256,"682,40","699,90","-17,50"
LU-137247021264,"158,96","163,29","-4,33"
LU-137247021266,"432,49","443,76","-11,27"
LU-137247021268,"776,18","796,41","-20,23"
LU-137307021299,"82,65","84,91","-2,26"
LU-137307021302,"209,47","215,20","-5,73"
LU-137367021343,"405,05","463,23","-58,18"
LU-137367021346,"377,04","386,70","-9,66"
LU-137387021349,"97,89","99,89","-2,00"
LU-137397021358,"689,39","707,07","-17,68"
LU-137397021362,"129,78","133,30","-3,52"
LU-137417021366,"1329,49","1363,58","-34,09"
LU-137447021385,"186,91","191,70","-4,79"
LU-137467021396,"445,93","457,55","-11,62"
LU-137517021424,"61,31","62,91","-1,60"
LU-137517021428,"106,23","109,00","-2,77"
